"year","datetime_","nest","sex","bird_ID","type","distm"
2011,2011-06-11 13:55:00,"s701","m","229194741","est",7
2011,2011-06-11 21:57:00,"s302","f","229194753","est",7
2011,2011-06-12 17:24:00,"s704","f","229194760","est",1
2011,2011-06-12 17:28:49,"s304","f","229194764","est",10
2011,2011-06-13 10:46:00,"s706","f","229194759","est",4
2011,2011-06-13 12:00:00,"s704","f","229194760","est",0
2011,2011-06-13 12:27:00,"s305","f","196163224","est",13
2011,2011-06-12 23:43:00,"s305","f","196163224","est",25
2011,2011-06-12 23:47:00,"s306","f","229194747","est",5
2011,2011-06-12 23:50:00,"s704","m","229194748","est",15
2011,2011-06-13 10:26:00,"s304","m","229194746","est",25
2011,2011-06-13 15:57:00,"s303","m","229194743","est",15
2011,2011-06-13 16:11:00,"s304","f","229194764","est",20
2011,2011-06-14 09:40:00,"s308","m","229194757","est",17
2011,2011-06-14 11:50:00,"s507","f","255174306","est",15
2011,2011-06-14 15:28:00,"s505","f","229194766","est",15
2011,2011-06-14 16:08:00,"s302","m","229194739","est",1
2011,2011-06-14 18:16:00,"s305","f","196163224","est",15
2011,2011-06-15 06:25:00,"s308","f","229194770","est",0
2011,2011-06-15 07:05:00,"s205","f","255174311","est",40
2011,2011-06-15 07:39:00,"s701","f","229194772","est",3
2011,2011-06-15 07:17:00,"s707","m","229194773","est",1
2011,2011-06-15 08:26:00,"s305","m","229194774","est",30
2011,2011-06-15 10:48:00,"s708","m","229194776","est",7
2011,2011-06-16 09:23:00,"s304","m","229194746","est",20
2011,2011-06-16 10:45:00,"s708","m","229194776","est",10
2011,2011-06-16 11:27:00,"s308","m","229194757","est",15
2011,2011-06-16 13:41:00,"s706","m","229194751","est",7
2011,2011-06-16 14:02:47,"s101","f","196163219","est",1
2011,2011-06-17 06:47:00,"s510","m","229194779","est",15
2011,2011-06-17 18:10:00,"s707","m","229194773","est",17
2011,2011-06-18 10:57:00,"s310","f","229194784","est",25
2011,2011-06-18 10:50:00,"s309","m","225119050","est",15
2011,2011-06-18 11:13:00,"s311","m","229194785","est",15
2011,2011-06-18 11:35:00,"s313","f","229194787","est",15
2011,2011-06-18 09:37:00,"s308","m","229194757","est",10
2011,2011-06-18 15:48:00,"s302","m","229194739","est",18
2011,2011-06-19 07:14:00,"s302","f","229194753","est",5
2011,2011-06-19 07:21:00,"s309","f","229194791","est",10
2011,2011-06-19 17:36:00,"s304","f","229194764","est",17
2011,2011-06-19 17:50:00,"s304","f","229194764","est",25
2011,2011-06-19 17:39:00,"s308","m","229194757","est",25
2011,2011-06-21 09:30:31,"s308","f","229194770","est",23
2011,2011-06-21 09:33:06,"s708","m","229194776","est",1
2011,2011-06-21 12:15:00,"s503","f","229194733","est",20
2011,2011-06-21 13:05:00,"s510","m","229194779","est",5
2011,2011-06-21 12:49:00,"s601","m","255174402","est",12
2011,2011-06-21 12:53:00,"s704","m","229194748","est",30
2011,2011-06-21 12:35:00,"s205","m","225118856","est",10
2011,2011-06-21 13:19:00,"s321","m","255174401","est",40
2011,2011-06-21 13:27:00,"s320","f","229194799","est",17
2011,2011-06-22 08:15:00,"s101","f","196163219","est",2
2011,2011-06-22 08:47:00,"s311","m","229194785","est",15
2011,2011-06-22 10:12:00,"s101","f","196163219","est",40
2011,2011-06-22 02:30:00,"s311","f","229194781","est",20
2011,2011-06-22 10:39:00,"s802","m","229194797","est",40
2011,2011-06-22 07:23:00,"s320","f","229194799","est",25
2011,2011-06-22 11:06:34,"s703","f","229194754","est",40
2011,2011-06-22 16:37:00,"s708","m","229194776","est",1
2011,2011-06-22 13:10:00,"s513","m","255174404","est",10
2011,2011-06-22 14:03:00,"s706","f","229194759","est",6
2011,2011-06-22 20:24:00,"s304","m","229194746","est",15
2011,2011-06-23 12:40:00,"s303","f","229194740","est",4
2011,2011-06-23 16:22:00,"s513","f","255174418","est",12
2011,2011-06-23 19:09:00,"s302","m","229194739","est",15
2011,2011-06-23 19:12:00,"s703","f","229194754","est",20
2011,2011-06-23 14:56:00,"s507","m","229194763","est",15
2011,2011-06-23 15:20:00,"s403","m","255174410","est",20
2011,2011-06-23 15:38:00,"s707","f","229194762","est",12
2011,2011-06-23 16:42:00,"s307","m","229194767","est",15
2011,2011-06-23 18:12:00,"s318","m","255174405","est",12
2011,2011-06-24 12:30:00,"s316","m","229194792","est",20
2011,2011-06-24 14:48:00,"s315","m","229194790","est",20
2011,2011-06-24 15:30:00,"s703","f","229194754","est",20
2011,2011-06-23 23:34:00,"s302","m","229194739","est",3
2011,2011-06-23 23:34:00,"s703","m","229194755","est",25
2011,2011-06-24 15:17:02,"s318","m","255174405","est",17
2011,2011-06-24 15:36:07,"s303","m","229194743","est",20
2011,2011-06-24 18:22:00,"s320","m","255174421","est",35
2011,2011-06-24 18:50:00,"s321","m","255174401","est",10
2011,2011-06-24 19:05:00,"s307","m","229194767","est",25
2011,2011-06-24 20:45:10,"s318","f","255174423","est",30
2011,2011-06-25 13:35:00,"s703","f","229194754","est",5
2011,2011-06-25 14:17:00,"s709","f","229194775","est",2
2011,2011-06-25 15:59:00,"s309","m","225119050","est",10
2011,2011-06-26 08:28:00,"s321","m","255174401","est",10
2011,2011-06-26 09:31:00,"s307","f","229194756","est",25
2011,2011-06-26 10:06:00,"s401","m","255174412","est",25
2011,2011-06-25 11:21:00,"s303","m","229194743","est",25
2011,2011-06-26 16:43:00,"s323","m","255174413","est",20
2011,2011-06-26 09:25:00,"s209","m","255174304","est",10
2011,2011-06-26 09:58:00,"s323","m","255174413","est",12
2011,2011-06-27 07:02:00,"s303","f","229194740","est",12
2011,2011-06-27 08:17:00,"s307","f","229194756","est",20
2011,2011-06-27 09:59:00,"s518","m","255174434","est",15
2011,2011-06-27 10:05:00,"s405","f","255174512","est",40
2011,2011-06-27 10:29:00,"s323","m","255174413","est",2
2011,2011-06-27 07:36:00,"s209","m","255174304","est",2
2011,2011-06-27 19:04:00,"s403","m","255174410","est",20
2011,2011-06-28 06:33:00,"s307","f","229194756","est",10
2011,2011-06-28 07:24:00,"s321","f","255174437","est",2
2011,2011-06-29 12:26:00,"s405","f","255174512","est",20
2011,2011-06-29 17:40:00,"s802","m","229194797","est",20
2011,2011-06-29 19:57:00,"s318","m","255174405","est",3
2011,2011-06-29 20:01:00,"s209","f","255174471","est",15
2011,2011-06-30 11:10:00,"s209","m","255174304","est",13
2011,2011-07-01 21:25:00,"s318","m","255174405","est",0
2011,2011-07-02 11:15:00,"s513","f","255174418","est",45
2011,2011-07-02 12:29:00,"s403","m","255174410","est",5
2011,2011-07-03 09:26:00,"s403","f","255174456","est",2
2011,2011-07-03 10:05:00,"s513","f","255174418","est",25
2011,2011-07-02 10:45:00,"s513","f","255174418","est",10
2011,2011-07-04 11:06:00,"s403","f","255174456","est",10
2011,2011-07-05 10:48:00,"s320","f","229194799","est",30
2011,2011-07-05 11:46:00,"s513","f","255174418","est",3
2011,2011-07-06 09:46:00,"s320","f","229194799","est",25
2011,2011-07-06 10:52:00,"s209","m","255174304","est",3
2011,2011-07-08 09:48:00,"s513","f","255174418","est",25
2011,2011-07-08 09:14:00,"s209","f","255174471","est",0
2011,2011-07-11 08:51:00,"s521","f","255174478","est",15
2011,2011-07-10 17:49:00,"s521","m","255174475","est",15
2011,2011-07-12 06:44:00,"s520","m","255174464","est",17
2011,2011-07-13 11:07:00,"s520","m","255174464","est",5
