"author","datetime_","datetime_left","nest","bird_incubate","gps_left","wp_left","dist_left_nest","behav_left","activity","n_eggs","n_chicks","state","eggs_collected","captures_id","bird1_cb","dist_bird1_app","bird2_cb","dist_bird2_app","RFID","RFID_ID","MSR","MSR_ID","TT","TT_ID","treatment","recorder","recorder_ID","balance","balance_ID","ARS","ARS_ID","fake_egg","fake_egg_ID","cage","remarks","visits_pk"
"fh,mb","2013-07-01 14:39:00","2013-07-01 14:39:20","s703","y",\N,\N,"4","fo","hc","2","2","2w, 2hd","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"both parents around","881"
"mb","2013-07-01 13:29:00","2013-07-01 13:34:00","w511","y",\N,\N,\N,\N,"f,e","2","0","w","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"882"
"mb","2013-07-01 11:58:00","2013-07-01 13:00:00","w510","y",\N,\N,\N,\N,"ca,f,e,l","4","0","w","0","236","noba","0",\N,\N,"on","54","on","306870",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"visit took and hour because i was filming the incubating bird","883"
"fh,mb","2013-07-01 19:10:00","2013-07-01 19:10:10","b502","y",\N,\N,\N,"fo","c",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"scared bird off when walking by","885"
"fh","2013-07-01 21:47:00","2013-07-01 21:54:00","s524","y",\N,\N,\N,\N,"l","4","0","w","0",\N,"rc",\N,\N,\N,"download","46",\N,\N,\N,\N,\N,"off","3",\N,\N,\N,\N,\N,\N,\N,\N,"886"
"fh","2013-07-01 21:47:00","2013-07-01 21:54:00","s524","y",\N,\N,\N,\N,"l","4","0","w","0",\N,"rc",\N,\N,\N,"download","46",\N,\N,\N,\N,\N,"download","3",\N,\N,\N,\N,\N,\N,\N,\N,"887"
"fh","2013-07-01 22:15:00","2013-07-01 22:21:00","s527","y",\N,\N,\N,\N,"c","4","0","w","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"wanted to download rfid, sd-card didn't work, try again later","888"
"fh","2013-07-01 22:22:00","2013-07-01 22:24:00","s627","n",\N,\N,\N,\N,"l","4","0","c","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"off","5",\N,\N,\N,\N,\N,\N,\N,\N,"889"
"fh","2013-07-01 22:22:00","2013-07-01 22:24:00","s627","n",\N,\N,\N,\N,"l","4","0","c","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"download","5",\N,\N,\N,\N,\N,\N,\N,\N,"890"
"lv,ms","2013-07-01 20:06:00","2013-07-01 20:21:00","a701","n",\N,\N,\N,\N,"l","4","0","w","0",\N,"x-r,o,db/x-gf",\N,\N,\N,"on","28","on","306850",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"noba and rc around","891"
